student_id,course_id,subject,semester,section,final_grade,gender,course_interest,perceived_competence,utility_value
87043,AnPhA-S116-01,AnPhA,S116,1,91.312,F,NA,NA,NA
87081,BioA-S116-01,BioA,S116,1,6.693548387,M,2.6,2.5,3
87093,FrScA-S116-01,FrScA,S116,1,60.2739726,F,4.4,4.5,4.666666667
87122,OcnA-S116-02,OcnA,S116,2,8.040201005,F,4.6,3.75,3.5
87163,FrScA-S116-01,FrScA,S116,1,88.58447489,M,NA,NA,NA
87166,AnPhA-S116-01,AnPhA,S116,1,77.3104,F,5,3.5,4.333333333
87171,PhysA-S116-01,PhysA,S116,1,97.5,F,4.333333333,3.5,4.111111111
87209,OcnA-S116-02,OcnA,S116,2,80.83752094,F,4.8,4,3
87484,FrScA-S116-01,FrScA,S116,1,92.69406393,M,3.7,3.75,4
87485,FrScA-S116-01,FrScA,S116,1,65.98173516,M,3,3.5,3
87489,FrScA-S116-01,FrScA,S116,1,71.00456621,M,4.266666667,3.5,3.444444444
87504,FrScA-S116-01,FrScA,S116,1,55.02283105,M,NA,NA,NA
87552,BioA-S116-01,BioA,S116,1,90.08064516,F,4,3,3
87579,FrScA-S116-01,FrScA,S116,1,96.11872146,F,3.2,3,3
87670,OcnA-S216-01,OcnA,S216,1,76.20435511,F,NA,NA,NA
87689,BioA-T116-01,BioA,T116,1,82.70215054,F,NA,NA,NA
87693,FrScA-T116-01,FrScA,T116,1,89.76484018,M,4,3.5,2
87805,FrScA-S116-01,FrScA,S116,1,96.80365297,F,NA,NA,NA
87825,OcnA-S216-01,OcnA,S216,1,93.47738693,M,4.4,3.5,4.333333333
87861,FrScA-S216-01,FrScA,S216,1,95.48532731,F,3.4,2.5,2.333333333
87865,AnPhA-T116-01,AnPhA,T116,1,83.1264,M,3.6,3.5,4
87866,FrScA-T116-01,FrScA,T116,1,94.50456621,F,4.6,3.25,3.5
87905,FrScA-S116-01,FrScA,S116,1,93.37899543,F,4.5,4,4.333333333
87906,FrScA-S116-01,FrScA,S116,1,81.73515982,M,4.6,4,3.333333333
87914,FrScA-S116-01,FrScA,S116,1,86.07305936,F,3.933333333,3.5,3.666666667
87927,FrScA-S116-01,FrScA,S116,1,69.6347032,F,3.4,3.5,4.666666667
87955,OcnA-T116-01,OcnA,T116,1,83.44723618,M,4.1,3.5,3.833333333
87970,OcnA-S116-01,OcnA,S116,1,86.69514238,F,4.6,3.5,4
87988,FrScA-S216-02,FrScA,S216,2,NA,F,4.8,4,4.333333333
88048,FrScA-S216-02,FrScA,S216,2,93.00225734,F,3.8,2.5,3
88050,AnPhA-S116-01,AnPhA,S116,1,71.6757328,F,4.2,3.25,3.833333333
88068,AnPhA-S116-01,AnPhA,S116,1,70.6074672,F,4.4,4,3.666666667
88075,FrScA-S116-04,FrScA,S116,4,83.17123288,F,3.6,3,4.333333333
88091,PhysA-S116-01,PhysA,S116,1,97.72222222,M,3.6,2.5,2.333333333
88099,AnPhA-S116-01,AnPhA,S116,1,81.9629328,M,4,3,3
88153,AnPhA-S116-01,AnPhA,S116,1,88.7024,F,4.6,3.75,3.666666667
88166,OcnA-S116-02,OcnA,S116,2,84.92127303,F,3.9,3.25,3.833333333
88168,OcnA-S116-02,OcnA,S116,2,95.96314908,M,4.4,4,4
88261,FrScA-S116-01,FrScA,S116,1,98.63013699,M,5,3.5,4
88282,OcnA-T116-01,OcnA,T116,1,92.12060302,F,3.6,3.5,2.666666667
88296,PhysA-S116-01,PhysA,S116,1,58.53472222,F,5,4.25,3.833333333
88307,OcnA-S116-03,OcnA,S116,3,54.5352381,F,3.9,3.5,4
88311,FrScA-S216-04,FrScA,S216,4,92.60722348,M,4,3.5,4
88340,OcnA-T116-01,OcnA,T116,1,68.93802345,F,5,4.5,5
88381,PhysA-S116-01,PhysA,S116,1,96.80555556,M,4.8,3.5,3.833333333
88409,FrScA-S116-03,FrScA,S116,3,68.03424658,F,4.4,4,3.333333333
88440,AnPhA-S216-01,AnPhA,S216,1,84.216,F,4.2,4,4
88440,OcnA-S116-01,OcnA,S116,1,81.06532663,F,4.2,4,4
88474,OcnA-S216-01,OcnA,S216,1,56.9681742,F,3.5,2.5,3.666666667
88481,PhysA-S116-01,PhysA,S116,1,26.80555556,F,4,4,4
88493,FrScA-S116-01,FrScA,S116,1,NA,M,3.8,3.5,3
88501,FrScA-S116-01,FrScA,S116,1,78.31050228,F,5,4,3.333333333
88504,OcnA-S216-01,OcnA,S216,1,NA,F,4.2,4,3.666666667
88527,FrScA-S116-01,FrScA,S116,1,92.69406393,F,4.1,4,4.5
88568,BioA-S116-01,BioA,S116,1,36.57419355,F,4.6,4,4
88568,BioA-S216-01,BioA,S216,1,NA,F,4.6,4,4
88596,FrScA-S216-01,FrScA,S216,1,91.87358916,F,NA,NA,NA
88612,AnPhA-S216-01,AnPhA,S216,1,71.6544,F,4.8,3.5,3.333333333
